name,stationID,date,weekday,hours,longitude,latitude,real_flow,pop_density,land_use_mix,num_accommodation,num_sports_leisure,num_public_facilities,num_companies,num_healthcare,num_business_residential,num_gov_org,num_auto_sales,num_life_services,num_cultural_education,num_shopping,num_finance,num_scenic_spots,num_catering,num_parking,num_bus_stops,road_density_km,intersection_density_km,connectivity,distance_to_nearest_CBD
洞庭路,66,20240329,4,20,117.2395467,39.0426488,82.0,212,0.0663291392853426,4.0,4.0,5.0,8.0,12.0,13.0,8.0,0.0,74.0,15.0,35.0,0.0,9.0,16.0,25.0,6.0,14.266374978078003,23.911634150094628,4.125,5.7647370441946455
徐州道,95,20230325,5,21,117.2122841,39.1145359,48.0,34468,0.2551403701990888,137.0,117.0,50.0,375.0,93.0,135.0,198.0,2.0,592.0,202.0,512.0,114.0,51.0,553.0,328.0,26.0,33.50768876583301,136.495578273507,4.945255474452555,0.2557099956421917
天津宾馆,214,20240330,5,23,117.1924515,39.0844239,79.0,38846,0.3382591422984924,37.0,31.0,8.0,40.0,27.0,35.0,63.0,0.0,110.0,17.0,115.0,24.0,2.0,108.0,94.0,11.0,18.386567829965003,35.36929218035695,5.211267605633803,1.898994497030397
王顶堤,82,20230328,1,14,117.1319321,39.0907112,353.0,1942,0.025231455496406,10.0,23.0,15.0,97.0,52.0,54.0,71.0,0.0,213.0,41.0,268.0,21.0,2.0,234.0,91.0,10.0,27.06252335542974,49.8159044793831,4.65,6.474685580465853
文化中心,162,20250327,3,14,117.201156,39.0882375,16.0,60432,0.334786734571267,10.0,51.0,58.0,29.0,30.0,36.0,96.0,15.0,151.0,37.0,460.0,21.0,20.0,209.0,138.0,9.0,26.948286425467565,75.22201576386864,5.814569536423841,1.0575305424377448
昌凌路,125,20240326,1,7,117.1771071,39.056163,2129.0,771,0.083806836255196,14.0,36.0,3.0,39.0,46.0,34.0,45.0,0.0,190.0,31.0,149.0,16.0,4.0,140.0,91.0,8.0,18.004897401528652,19.42820274697053,5.230769230769231,4.903663459843095
金狮桥,17,20240327,2,15,117.2015526,39.1499528,631.0,27088,0.0479306642848941,38.0,38.0,11.0,63.0,111.0,69.0,117.0,1.0,335.0,64.0,434.0,33.0,10.0,273.0,169.0,8.0,29.67025476003045,50.81222256897852,4.411764705882353,2.4595314694053507
金狮桥,17,20240325,0,10,117.2015526,39.1499528,618.0,27088,0.0479306642848941,38.0,38.0,11.0,63.0,111.0,69.0,117.0,1.0,335.0,64.0,434.0,33.0,10.0,273.0,169.0,8.0,29.67025476003045,50.81222256897852,4.411764705882353,2.4595314694053507
南楼,10,20230327,0,22,117.2175176,39.0954142,148.0,52034,0.0082874066087294,52.0,61.0,19.0,157.0,95.0,85.0,126.0,4.0,422.0,77.0,540.0,92.0,5.0,432.0,278.0,12.0,18.83223851030553,46.32879116582308,4.344086021505376,0.6867957718667221
金狮桥,17,20250329,5,21,117.2015526,39.1499528,1284.0,27088,0.0455445130320787,30.0,34.0,11.0,54.0,114.0,71.0,117.0,2.0,317.0,61.0,418.0,31.0,10.0,253.0,154.0,8.0,38.54190027962658,101.12628609316312,5.192118226600985,2.4595314694053507
中山门,127,20250325,1,15,117.2581171,39.0998463,748.0,44251,0.1945033595531029,12.0,24.0,12.0,37.0,98.0,22.0,62.0,0.0,265.0,41.0,331.0,26.0,14.0,313.0,67.0,16.0,35.81705080275897,117.56553457137927,6.258474576271187,2.7421073606016684
复兴门,13,20230326,6,17,117.2539407,39.076218,190.0,37677,0.3196102353511998,12.0,16.0,10.0,61.0,29.0,39.0,51.0,0.0,72.0,41.0,86.0,13.0,1.0,74.0,41.0,7.0,31.990575425899703,57.28829015129293,4.521739130434782,3.853257868267957
卞兴,18,20230327,0,9,117.1030855,39.1450052,356.0,2913,0.4407603905399078,2.0,7.0,8.0,11.0,9.0,12.0,22.0,3.0,34.0,5.0,36.0,0.0,0.0,35.0,11.0,1.0,14.71422010046506,6.476067582320657,7.384615384615385,6.734461188559148
金街,93,20240325,0,20,117.1858435,39.1309071,225.0,40253,0.3395364514598046,245.0,191.0,41.0,177.0,119.0,99.0,166.0,14.0,612.0,133.0,970.0,75.0,88.0,827.0,303.0,25.0,37.64633213233677,127.52871546722692,4.9921875,0.6930833894738101
中山路,195,20230326,6,6,117.198963,39.1613463,116.0,43648,0.0425204749093652,31.0,64.0,24.0,100.0,147.0,74.0,123.0,6.0,354.0,110.0,427.0,39.0,10.0,449.0,163.0,13.0,29.9562650589635,55.79381301689779,4.866071428571429,3.3170899781993834
登州路,24,20240329,4,22,117.2903802,39.149859,238.0,11940,0.2373979212371621,6.0,6.0,1.0,24.0,7.0,11.0,16.0,9.0,19.0,7.0,28.0,0.0,0.0,19.0,19.0,6.0,17.33145869215699,18.431884657363234,4.945945945945946,4.173526453263386
左江道,65,20240331,6,9,117.2110755,39.0588817,328.0,492,0.1578704092816447,7.0,40.0,3.0,29.0,50.0,24.0,34.0,0.0,240.0,56.0,149.0,34.0,0.0,212.0,120.0,14.0,17.426800596800827,46.32879116583681,5.247311827956989,3.493837378175801
徐庄子,44,20230327,0,16,117.248118,39.1907159,134.0,1917,0.1991276815728407,12.0,2.0,3.0,148.0,8.0,9.0,7.0,4.0,72.0,7.0,147.0,0.0,0.0,56.0,24.0,4.0,9.9003206542189,13.450294209436,4.851851851851852,7.399468365466436
南何庄,47,20230326,6,9,117.2847512,39.2051927,95.0,7557,0.3397233076859218,3.0,3.0,2.0,46.0,4.0,3.0,6.0,1.0,50.0,1.0,86.0,0.0,0.0,29.0,5.0,4.0,6.89659885495314,5.479749492731632,5.363636363636363,9.348789365357266
柳林路,113,20240330,5,22,117.2785786,39.0713979,52.0,20491,0.2573890420676233,55.0,24.0,6.0,28.0,32.0,14.0,28.0,0.0,102.0,32.0,477.0,6.0,5.0,225.0,52.0,8.0,17.260435453231853,14.94477134380654,4.333333333333333,6.02624063689003
昌凌路,125,20240326,1,23,117.1771071,39.056163,69.0,771,0.083806836255196,14.0,36.0,3.0,39.0,46.0,34.0,45.0,0.0,190.0,31.0,149.0,16.0,4.0,140.0,91.0,8.0,18.004897401528652,19.42820274697053,5.230769230769231,4.903663459843095
月牙河,53,20230328,1,15,117.2399103,39.1644926,286.0,41324,0.0503183949769359,8.0,18.0,13.0,49.0,49.0,39.0,105.0,0.0,228.0,40.0,503.0,16.0,3.0,256.0,95.0,15.0,19.048175049254503,61.77172155443505,6.5,4.643132981761734
鞍山道,15,20250329,5,12,117.1818587,39.1191905,838.0,41495,0.0468328142981146,154.0,193.0,58.0,114.0,209.0,172.0,219.0,3.0,648.0,190.0,1121.0,68.0,26.0,827.0,297.0,14.0,33.35996774920204,142.4734868110862,5.108391608391608,1.799317252003026
天津站,79,20240329,4,10,117.2045428,39.1367775,1075.0,22764,0.3413493815175336,298.0,58.0,15.0,147.0,72.0,63.0,78.0,2.0,322.0,51.0,276.0,62.0,21.0,297.0,242.0,16.0,70.18016321509751,143.46980490066036,5.503472222222222,1.1445102179050113
国山路,27,20230328,1,8,117.3033796,39.1532758,2655.0,5838,0.5526741814517545,0.0,1.0,2.0,4.0,4.0,7.0,10.0,10.0,16.0,3.0,15.0,2.0,0.0,10.0,16.0,4.0,14.479360779114833,13.450294209431204,3.555555555555556,5.276630342814699
滨海国际机场,29,20230326,6,10,117.3552221,39.1319209,508.0,305,0.5948123256018443,0.0,0.0,111.0,2.0,1.0,0.0,4.0,0.0,28.0,1.0,41.0,11.0,0.0,22.0,12.0,5.0,42.88072240065032,210.2231169029032,6.194312796208531,8.69826441739024
方山道,109,20250326,2,21,117.283175,39.1091083,13.0,9651,0.2853859328945813,1.0,4.0,2.0,14.0,8.0,13.0,10.0,0.0,36.0,4.0,48.0,2.0,1.0,38.0,11.0,4.0,20.40101287963042,23.911634150099985,6.083333333333333,2.975355944161784
徐州道,95,20250325,1,10,117.2122841,39.1145359,298.0,34468,0.2237476537415745,115.0,111.0,32.0,222.0,81.0,133.0,193.0,4.0,528.0,152.0,692.0,110.0,53.0,537.0,315.0,25.0,40.60910167974117,164.8906438267548,4.969788519637462,0.2557099956421917
民权门,43,20230328,1,19,117.2274714,39.1676988,336.0,52812,0.0341690360480189,10.0,17.0,14.0,50.0,32.0,33.0,67.0,0.0,208.0,38.0,530.0,14.0,2.0,216.0,75.0,11.0,21.65119402267341,52.80485874815797,6.179245283018868,4.973347226539963
营口道,165,20230326,6,9,117.1915049,39.1174657,4270.0,33881,0.1097443186418899,125.0,282.0,90.0,217.0,136.0,199.0,251.0,9.0,989.0,263.0,684.0,115.0,43.0,1123.0,306.0,29.0,20.5261878937261,83.19256048057504,4.221556886227545,1.3504067293743862
双港,105,20250330,6,13,117.2709095,39.0299389,292.0,1117,0.2027737732024883,12.0,45.0,2.0,103.0,25.0,25.0,23.0,3.0,104.0,18.0,193.0,4.0,2.0,198.0,62.0,5.0,18.439460398569047,38.35824644912339,5.233766233766234,8.359511861455967
双港,105,20250326,2,22,117.2709095,39.0299389,67.0,1117,0.2027737732024883,12.0,45.0,2.0,103.0,25.0,25.0,23.0,3.0,104.0,18.0,193.0,4.0,2.0,198.0,62.0,5.0,18.439460398569047,38.35824644912339,5.233766233766234,8.359511861455967
鞍山道,15,20230326,6,6,117.1818587,39.1191905,359.0,41495,0.0582065916428215,193.0,187.0,52.0,210.0,202.0,169.0,227.0,0.0,745.0,231.0,515.0,76.0,27.0,669.0,294.0,15.0,19.443096556203663,76.71649289827718,4.032467532467533,1.799317252003026
靖江路,104,20250329,5,7,117.238086,39.141949,1862.0,21704,0.0,13.0,35.0,5.0,58.0,57.0,36.0,74.0,3.0,249.0,25.0,276.0,19.0,3.0,214.0,120.0,13.0,22.24899386249332,54.2993358825204,4.220183486238532,2.4309307628737336
直沽,133,20240326,1,19,117.2276081,39.1099824,2104.0,36225,0.2955411420177158,26.0,75.0,18.0,85.0,74.0,72.0,129.0,3.0,236.0,74.0,324.0,48.0,19.0,246.0,183.0,17.0,24.372532837572614,40.84904167310191,4.304878048780488,1.2746588780889188
金狮桥,17,20240330,5,11,117.2015526,39.1499528,1114.0,27088,0.0479306642848941,38.0,38.0,11.0,63.0,111.0,69.0,117.0,1.0,335.0,64.0,434.0,33.0,10.0,273.0,169.0,8.0,29.67025476003045,50.81222256897852,4.411764705882353,2.4595314694053507
月牙河,53,20230331,4,6,117.2399103,39.1644926,520.0,41324,0.0503183949769359,8.0,18.0,13.0,49.0,49.0,39.0,105.0,0.0,228.0,40.0,503.0,16.0,3.0,256.0,95.0,15.0,19.048175049254503,61.77172155443505,6.5,4.643132981761734
徐州道,95,20230327,0,15,117.2122841,39.1145359,87.0,34468,0.2551403701990888,137.0,117.0,50.0,375.0,93.0,135.0,198.0,2.0,592.0,202.0,512.0,114.0,51.0,553.0,328.0,26.0,33.50768876583301,136.495578273507,4.945255474452555,0.2557099956421917
津塘路,56,20250326,2,9,117.236451,39.1168457,605.0,24258,0.1239661683348053,19.0,67.0,14.0,51.0,58.0,66.0,116.0,0.0,211.0,44.0,394.0,32.0,15.0,190.0,108.0,7.0,43.15070728630274,100.6281270483488,5.584158415841584,1.7947341646497474
职业大学,71,20250328,4,6,117.1753791,39.2301237,50.0,899,0.2615915816301693,8.0,6.0,2.0,3.0,0.0,12.0,4.0,0.0,37.0,16.0,21.0,2.0,1.0,33.0,5.0,3.0,15.219284843996167,21.42083892613304,4.906976744186046,10.54990991546994
昌凌路,125,20250330,6,17,117.1771071,39.056163,448.0,771,0.0604254038689665,15.0,36.0,3.0,27.0,48.0,33.0,47.0,0.0,181.0,27.0,147.0,15.0,4.0,127.0,68.0,8.0,18.599724602227987,25.40611128449993,5.411764705882353,4.903663459843095
十一经路,131,20240325,0,17,117.2175163,39.1204458,991.0,29710,0.2921849276509044,61.0,108.0,36.0,209.0,90.0,100.0,150.0,5.0,459.0,86.0,741.0,64.0,16.0,547.0,301.0,15.0,29.81417070829804,97.1410137348048,4.830769230769231,0.5741484602706105
洞庭路,66,20230328,1,20,117.2395467,39.0426488,51.0,212,0.1655769554156956,3.0,4.0,3.0,6.0,5.0,9.0,9.0,0.0,37.0,7.0,19.0,0.0,2.0,7.0,15.0,4.0,14.45285107607219,22.41715701571372,4.155555555555556,5.7647370441946455
景荷道,157,20240327,2,15,117.2773219,39.0195566,68.0,1074,0.2055124296135107,33.0,32.0,0.0,40.0,32.0,21.0,34.0,0.0,126.0,38.0,99.0,6.0,0.0,197.0,55.0,9.0,17.305722509509867,30.88586077722153,5.532258064516129,9.61961146731294
大王庄,132,20240327,2,6,117.211904,39.1261601,803.0,25713,0.4404009386278056,66.0,74.0,29.0,174.0,81.0,93.0,154.0,5.0,435.0,79.0,469.0,61.0,45.0,406.0,264.0,9.0,50.73536175180383,91.66126424205872,5.0,0.1999856783789545
